PuzzleId,FEN,Moves,Rating,Themes
004nd,"3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24","c7d7 e4f6 d8f6 h6f6",898,"crushing fork middlegame short"
00AGs,"rn2k2Q/5p2/2p1p1r1/1q4p1/8/8/4NPPP/3R1K1R b q - 5 23","e8e7 h8d8",898,"mate mateIn1 middlegame oneMove"
00Kxt,"r2q1r2/p3ppkp/3p2p1/1N2n2P/4P1P1/5P2/PPPQ4/R3K2R w KQ - 1 16","h5g6 e5f3 e1e2 f3d2",905,"crushing fork middlegame short"
00ISm,"5r2/4bp1k/2ppq1p1/4p1Q1/4N2P/3P4/1P1R1P2/4K1R1 b - - 0 29","e7g5 e4g5 h7h6 g5e6",907,"crushing endgame fork short"
002p5,"r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13","f6d5 c2h7 g8f8 h7h8",908,"kingsideAttack mate mateIn2 middlegame short"
008cl,"r3k2r/ppp2p1p/2n1pp2/7q/2PN2b1/2BP1Pb1/PP2B1P1/R2Q1RK1 w kq - 1 16","f3g4 h5h2",908,"mate mateIn1 middlegame oneMove"
002Q2,"7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28","f4h6 f5g3",911,"cornerMate mate mateIn1 middlegame oneMove"
00GBX,"r6k/pp2n1pp/2nN4/4p1Br/1PB5/2P4b/P3Nb1P/R2R3K b - - 1 22","h5g5 d6f7 h8g8 f7g5",911,"advantage discoveredAttack discoveredCheck fork middlegame short"
00Hk4,"5rk1/p4ppp/4p3/1Q6/1P1BN1b1/8/Pq3PPP/R1r1KB1R w KQ - 2 18","a1c1 b2c1",911,"mate mateIn1 middlegame oneMove"
00KYE,"r1b2k1r/pp4p1/2pq2p1/3p4/3p4/1N6/PPP2PPP/R2Q1RK1 w - - 0 17","d1d4 d6h2",913,"kingsideAttack mate mateIn1 middlegame oneMove"
009lk,"1R6/6pk/2p4p/3bP2r/5B1P/2P2qP1/P4P1Q/4R1K1 w - - 2 40","e1e3 f3d1 e3e1 d1e1",917,"mate mateIn2 middlegame short"
00HEx,"b7/5pk1/R3pn1p/8/3NP3/5P2/6PP/2rB2K1 w - - 1 31","a6a8 c1d1 g1f2 d1d4",920,"crushing endgame fork hangingPiece master short"
002Mm,"rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16","g8f8 h7h8 f8e7 h8g7",921,"deflection mate mateIn2 middlegame short"
00ITc,"3r1rk1/3b1pp1/7p/8/N2Qp1n1/1P6/PB1q1PP1/R5K1 b - - 1 25","d7a4 d4g7",921,"mate mateIn1 middlegame oneMove"
009eX,"2r3k1/7p/6q1/p1Np4/Qp2pr2/P4P2/1PR2P1K/5R2 w - - 0 36","f1g1 f4h4",922,"mate mateIn1 middlegame oneMove"
00IaZ,"4R3/1k2R3/3K2p1/1P6/1P6/2rp3r/8/8 b - - 3 45","b7b6 e8b8",923,"endgame master mate mateIn1 oneMove rookEndgame"
002CP,"r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24","f2e3 g6c2",925,"endgame mate mateIn1 oneMove queensideAttack"
00C8Y,"rnb2rk1/pp3p1p/3p2Pb/4p1q1/3pQ3/8/PPP1PPP1/RN2KBNR w KQ - 1 12","g1f3 g5c1",930,"mate mateIn1 middlegame oneMove"
00FON,"1k6/8/8/6p1/1pp5/p4PP1/N1P4P/7K w - - 0 38","h2h4 b4b3 c2b3 c4b3",936,"crushing endgame knightEndgame short"
00HZa,"6k1/6pp/1p6/p1n5/4qp2/1P2PN2/P4PPP/3Q2K1 b - - 0 28","f4e3 d1d8 g8f7 f3g5 f7g6 g5e4",937,"crushing endgame fork long master"
00I8g,"4rk2/3Rnrp1/8/4Q1p1/7P/6K1/8/8 w - - 0 50","h4g5 e7f5 e5f5 f7f5",937,"crushing endgame short"
00F6y,"2k3r1/ppp2prp/1q2b3/8/Q7/2P1R1P1/P4P1P/4R1K1 b - - 3 23","e6d7 e3e8 d7e8 e1e8 g8e8 a4e8",938,"long mate mateIn3 middlegame queensideAttack sacrifice"
00KMV,"1r3k2/1p1q1p2/p2p1np1/2pP2bp/2P1P1n1/1PQ3P1/P3N1K1/3N1R1R b - - 11 28","f6e4 c3h8 f8e7 h8b8",943,"crushing middlegame short skewer"
000o3,"8/2p1k3/6p1/1p1P1p2/1P3P2/3K2Pp/7P/8 b - - 1 43","e7d6 d3d4 g6g5 f4g5",944,"crushing endgame pawnEndgame short zugzwang"
00AfZ,"2r3kR/Q7/5q2/1brpN3/5Pp1/4P1P1/6K1/1B6 b - - 2 43","f6h8 a7f7",946,"master mate mateIn1 middlegame oneMove"
00DPI,"3r2k1/1B3p1p/6p1/3N4/3p2P1/6r1/5KP1/3R4 b - - 5 35","g3g4 d5f6 g8g7 f6g4",953,"advantage endgame fork short"
00E29,"r1bq1rk1/4bppp/p1n5/3P4/Pp6/3B1N2/1B3PPP/R2Q1RK1 b - - 0 17","d8d5 d3h7 g8h7 d1d5",953,"crushing discoveredAttack kingsideAttack middlegame short"
00HzR,"8/8/p2k4/1pp5/2K4P/1P1P1RP1/7r/8 w - - 0 46","c4c3 b5b4 c3c4 h2c2",956,"endgame mate mateIn2 rookEndgame short"
00KOz,"8/r4k2/7R/5PK1/1n6/8/8/8 b - - 3 56","b4d5 h6h7 f7f8 h7a7",960,"crushing endgame master short skewer"
003jb,"r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11","c6c5 d4a4 a6b5 a4b5",961,"crushing fork master middlegame short"
007bH,"r2q1rk1/2p2ppn/2pbp2p/p2p4/P4PQ1/1P1PP3/1BPN2PP/4RR1K b - - 4 15","f7f5 g4g7",963,"kingsideAttack mate mateIn1 middlegame oneMove"
00Au2,"r5r1/pp2kp2/2p5/3pQ3/3P4/2NB4/PPP2q2/1K6 b - - 1 28","e7d7 d3f5 f2f5 e5f5",964,"advantage endgame short"
00Htd,"rnbqk2r/1p3ppp/p4b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 9","d1d5 f6c3 b2c3 d8d5",968,"crushing intermezzo opening short"
002X3,"6k1/2q2p1p/4pPp1/4P3/p1pP1P2/RrP5/6QP/4B1K1 b - - 0 33","b3a3 g2a8 c7b8 a8b8",970,"endgame mate mateIn2 short"
00CtS,"Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b - - 3 38","g8g7 a8h8 g7g6 h8h6",970,"endgame mate mateIn2 short swallowstailMate"
00JfN,"r6r/1bpnk3/1p1pB3/pP1P3q/P3PQP1/2b2N1P/2P2P2/R3R1K1 b - - 0 24","h5h3 f4f7 e7d8 f7d7",971,"mate mateIn2 middlegame short"
00EoE,"r1b1k3/ppr4p/5p2/5p2/8/2P3P1/P4PP1/4RK1R b q - 1 23","e8f7 h1h7 f7g6 h7c7",974,"crushing endgame short skewer"
008oX,"4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32","e8e1 c7c8 e1e8 c8e8",976,"endgame mate mateIn2 short"
00F2o,"6k1/4qpp1/3p3p/8/2BP4/1Pn5/2Qn1PPP/6K1 w - - 0 29","c2c3 e7e1 c4f1 e1f1",978,"endgame mate mateIn2 short"
004XI,"8/3kqp2/4p3/p2p4/3P1P2/4P1rP/7r/1QR2K2 b - - 1 34","e7a3 b1b7 d7e8 c1c8",982,"endgame mate mateIn2 short"
00JO7,"5rk1/ppq3pR/4p1r1/3p4/8/2P4Q/PP3RPP/6K1 b - - 0 22","c7c5 h7h8",986,"endgame mate mateIn1 oneMove"
007Rn,"4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34","d2g5 e8e1 f3f1 e1f1",990,"endgame mate mateIn2 short"
0092z,"2r3k1/2qR1ppp/p7/2p2Q2/P7/7P/5PP1/6K1 b - - 3 26","c7c6 f5f7 g8h8 f7g7",991,"endgame mate mateIn2 short"
00Gv1,"8/1pp1r1kp/4r1p1/p1P5/5Q2/P4PPq/1P1R3P/3R2K1 w - - 2 32","d2d8 e6e1 d1e1 e7e1 g1f2 h3f1",991,"endgame long mate mateIn3"
003Jb,"6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22","d4a7 e7g5 c1b1 g5h6",993,"advantage fork master middlegame short"
00Gvp,"8/2kn1p2/8/3P4/R7/2P1N3/1r2K3/8 w - - 13 70","e2d3 d7c5 d3d4 c5a4",994,"advantage endgame fork short"
00J7i,"3r2k1/pQ3ppp/4R1n1/2q5/2P5/2B3P1/P4PBP/6K1 b - - 0 24","f7e6 b7g7",999,"endgame master masterVsMaster mate mateIn1 oneMove"
003AX,"2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18","c5d4 c2h7",1001,"kingsideAttack mate mateIn1 middlegame oneMove"
003o0,"r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9","g1f3 d8a5 d1d2 a5b5",1002,"advantage fork master opening short"
003jv,"1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37","b8h8 d6f7 e5e4 f7h8",1006,"crushing endgame fork short"
002O7,"r3qrk1/2p2pp1/p2bpn1p/2ppNb2/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14","f5g4 e5g4 f6g4 d1g4",1008,"crushing middlegame short"
00Aae,"1R6/1P6/4pkp1/5p2/3P3p/3KP3/8/1r6 b - - 0 43","h4h3 b8f8 f6e7 b7b8q b1b8 f8b8",1015,"advancedPawn clearance crushing endgame long promotion rookEndgame"
