PuzzleId,FEN,Moves,Rating,Themes
008tL,"8/7k/pR5p/3p4/5r2/2P1p2P/P5P1/6K1 w - - 0 40","b6a6 e3e2 a6e6 f4f1",1165,"advancedPawn crushing endgame master rookEndgame short"
00GY4,"3k2r1/pR5R/3r4/4p1q1/7Q/3Pn1PP/PP5K/8 b - - 0 27","g5h4 b7b8",1167,"endgame mate mateIn1 oneMove"
00JAo,"8/5r2/6pk/7p/7P/5PK1/R7/8 b - - 2 58","g6g5 a2a6 h6g7 h4g5",1167,"crushing deflection endgame master rookEndgame short"
00LPw,"1rb4r/pp1nb1pp/5nk1/3Np3/2q1P3/2N2Q2/PPP2PPP/R1B1K2R b KQ - 4 12","f6d5 f3f5",1173,"mate mateIn1 middlegame oneMove"
004Lu,"8/p1p4p/4Pk2/2PP1p1P/1r3r2/5B2/P3RK2/8 b - - 3 38","f6e7 d5d6 c7d6 c5d6 e7d6 e6e7",1189,"advancedPawn advantage endgame exposedKing long master"
004LZ,"8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48","e1g2 c3c2 b1a2 c2c1q h7d7 d2e2",1197,"advancedPawn crushing defensiveMove deflection endgame long promotion"
00Aas,"3r1rk1/1p2q1pp/5p2/8/1P1n4/6Q1/PPbB1PPP/R2B1RK1 w - - 9 20","d1c2 d4e2 g1h1 e2g3 f2g3 d8d2",1199,"crushing fork long middlegame"
00EbJ,"r2q1rk1/ppp2ppp/2nbb3/8/6n1/2NPBN2/PPP1BPPP/R2QK2R w KQ - 5 9","f3g5 g4e3 f2e3 d8g5",1201,"capturingDefender crushing opening short"
00Hut,"r4rk1/4p1bp/3p2p1/q1pP1P2/4QP2/4B3/1p5P/1BKR3R w - - 0 22","c1c2 a5c3",1203,"mate mateIn1 middlegame oneMove"
00Dt6,"5rk1/p4p1p/4p1p1/5nq1/8/5QPP/5PK1/2RR4 w - - 6 35","c1b1 f5h4 g2f1 h4f3",1204,"crushing endgame pin short"
004kB,"4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16","b7c7 f6f2 f1f2 e8e1 f2f1 e1f1",1209,"kingsideAttack long mate mateIn3 middlegame sacrifice"
005jJ,"r1b1qrk1/pp1n1pbp/2pp1np1/4p3/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - - 0 10","d4e5 d6e5 f4h2 e5e4",1215,"advantage opening short"
00Kyy,"8/P7/8/5k2/8/5pr1/5r2/R6K w - - 0 50","a7a8q g3h3 h1g1 f2g2 g1f1 h3h1",1219,"endgame exposedKing long master mate mateIn3 queenRookEndgame"
00NUS,"4rk2/pbp2pp1/1p1b4/3P1q2/QPBPN3/1KP2P2/P5r1/R3R3 w - - 0 25","e4d6 f5c2 b3a3 c2b2",1225,"mate mateIn2 middlegame short"
00KYU,"3r4/p2n2kp/1p2Bpp1/2r2N2/4q3/6QP/P5P1/5R1K b - - 1 40","g7f8 g3d6 f8e8 d6e7",1228,"mate mateIn2 middlegame short"
00Oim,"1r3rk1/q5pp/2R5/3P4/8/1p2NpPb/1P3P1P/2QR2K1 w - - 0 32","c1c4 a7e3 f2e3 f3f2",1228,"advancedPawn advantage middlegame sacrifice short"
00Q4v,"8/2p1b3/q1Pp2k1/3Pp3/4Pr2/1Q3PK1/3N2P1/7R w - - 1 47","h1e1 e7h4 g3h2 h4e1",1228,"crushing endgame short skewer"
002IE,"r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16","c6e5 d4e5 d6e7 e5f6",1229,"advantage fork middlegame short"
00Bp0,"1r2kr2/pp3p1p/2b1pn2/4N3/2P5/1N1B4/P3KP1P/6R1 b - - 4 21","f6e4 e5c6 b7c6 d3e4",1229,"advantage capturingDefender middlegame short"
002Z9,"4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34","f4d2 e7e8",1231,"endgame hangingPiece master mate mateIn1 oneMove"
00AhO,"r1b2rk1/2q2p1p/1p2pbp1/pP6/2P1Q3/P2B1N2/5PPP/3R1RK1 w - - 0 20","e4a8 c8b7 a8a7 f8a8 a7a8 b7a8",1233,"advantage clearance long master middlegame trappedPiece"
009wR,"1R2R3/p7/1p1k3p/1Pb5/P5p1/6P1/5rKP/8 w - - 6 41","g2h1 f2f1 h1g2 f1g1",1239,"endgame mate mateIn2 operaMate short"
00HJd,"r1bqkb1r/pp2pppp/2p2n2/2PnN3/2BP1B2/8/PP3PPP/RN1QR1K1 b kq - 2 12","d5f4 c4f7",1242,"attackingF2F7 mate mateIn1 oneMove opening"
00AdI,"3r4/4kp1p/1PQ1p1p1/p3b3/1p2P2P/1P6/6PK/8 w - - 1 36","h2h3 d8d3 g2g3 d3g3 h3h2 g3c3",1254,"crushing discoveredAttack discoveredCheck endgame long master"
00L4x,"1r4k1/4Ppbp/p5p1/2q5/p2n4/P2Q2B1/r2N1PPP/3KR2R b - - 0 27","g7h6 e7e8q b8e8 e1e8",1260,"advancedPawn crushing kingsideAttack middlegame promotion short"
00BSo,"2r3k1/4R1pp/p1p2p2/2p5/2P5/1PbN3P/P4PP1/6K1 w - - 0 25","d3c5 c3b4 e7a7 b4c5",1266,"advantage endgame short"
00IF1,"1k6/p1p5/P2p4/3P4/1PK2N1p/4P3/5r2/4B3 b - - 12 57","f2f4 e3f4 h4h3 e1g3",1266,"crushing defensiveMove endgame hangingPiece short"
009J1,"rn2k2r/pp2bp1p/2p1pNp1/6B1/5P2/7P/PPP4P/2K1RR2 b - - 3 17","e8f8 g5h6",1269,"mate mateIn1 middlegame oneMove"
00Er4,"r3k2r/p1bN2pp/2p1pp2/3p3b/3P1q2/2N4P/PPPQ1PP1/R3R1K1 w kq - 0 16","e1e6 e8d7 d2f4 c7f4",1269,"crushing hangingPiece middlegame short"
00B8m,"3b4/3P4/pp2Pk2/5r2/P6p/3Q4/8/7K w - - 1 43","d3f5 f6f5 e6e7 d8e7 d7d8q e7d8",1275,"crushing endgame hangingPiece long"
00H1C,"r3r3/1kpRnqpp/p4p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 b - - 0 22","e7c6 a5c7",1276,"mate mateIn1 middlegame oneMove swallowstailMate"
007eS,"6k1/p4p2/1p5p/4r3/P3B3/1P3P2/2PK2PP/8 w - - 0 29","d2e3 f7f5 g2g4 f5e4",1279,"advantage endgame short"
001Fg,"2R2r1k/pQ4pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30","c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1",1286,"advantage middlegame veryLong"
003nQ,"6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29","f1g1 f5g3 f2g3 g8g3",1286,"crushing kingsideAttack master middlegame pin short"
00G81,"3r4/5k2/p4Pp1/2pK2Pp/2R5/P7/8/8 w - - 7 51","d5c5 d8c8 c5d4 c8c4 d4c4 h5h4",1287,"crushing defensiveMove endgame long rookEndgame"
007OE,"8/pkp5/2p1p3/3p4/N2q4/1n4Q1/PPP3Pr/K2R4 w - - 2 29","a2b3 d4d1 a1a2 h2h1 a4c5 b7b6",1289,"advantage endgame hangingPiece long quietMove"
00LI0,"r2qk2r/pp1n1ppp/4pn2/3p2B1/1b1P4/2N1QN1P/PPb1BPP1/R4RK1 w kq - 0 12","c3d5 f6d5 g5d8 d5e3",1289,"crushing hangingPiece middlegame short"
00O9q,"5r2/5p1k/4nP2/4N1p1/8/6P1/6K1/R7 b - - 1 78","h7h6 a1h1",1292,"endgame master mate mateIn1 oneMove"
00MFe,"3r3k/p5pp/2r2q2/2p4Q/8/8/P5PP/3R1R1K b - - 5 29","d8d1 h5e8 f6f8 e8f8",1294,"endgame mate mateIn2 short"
004JD,"3r4/R7/2p5/p1P2p2/1p4k1/nP6/P2KNP2/8 w - - 3 41","d2e3 a3c2",1296,"cornerMate endgame mate mateIn1 oneMove"
00G7g,"3r1rk1/p4pp1/b1p4p/8/BPPq4/P2P3P/2Q3P1/RNB4K b - - 2 27","d4a1 c1b2 a1b2 c2b2",1297,"advantage middlegame short"
00ICz,"2k2rr1/1p1q3p/1p2p3/1NbpQ3/P1p2P2/6P1/6KP/R4R2 b - - 0 31","f8f5 b5a7 c8d8 e5b8 d8e7 b8g8",1298,"crushing long middlegame skewer"
00O37,"r1q1r1k1/1p3pp1/n1p4p/p1bpp2P/P3P3/2P2P2/1P1QBP2/R1BK3R b - - 3 23","c5f2 e2a6 b7a6 d2f2",1300,"advantage discoveredAttack middlegame short"
003mh,"r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23","a8e8 e1e8 f8e8 d5f6 e8e7 f6g4",1304,"advantage attraction fork long middlegame sacrifice"
00BCa,"1r6/p2kp1P1/3p4/2pP4/2P2B2/pN6/5PK1/8 b - - 1 41","a3a2 b3c5 d6c5 f4b8 a2a1q g7g8q",1315,"advancedPawn crushing endgame long master promotion"
00MeO,"r1b1kb1r/1p2np2/p1p4p/4PPp1/3PN3/8/PPP3PP/R1B2RK1 b kq - 0 15","c8f5 e4d6 e8d7 d6f5",1315,"advantage middlegame short"
00Ea3,"3r4/p5k1/1p1qprnp/1Q1pN1p1/3P1pP1/1PP5/P5PP/4RRK1 b - - 3 29","g6e5 d4e5 d6c5 b5c5 b6c5 e5f6",1316,"crushing fork long middlegame"
00Lh9,"4r3/7P/1p4Q1/1b4B1/1k4n1/8/1P2n1PK/4R3 w - - 2 41","h2h1 e2g3 h1g1 e8e1",1316,"discoveredAttack mate mateIn2 middlegame short"
009FP,"r1b1k1nr/ppp2pbp/3ppqp1/8/2BnP3/N2P2QP/PPP2PP1/R1B1K2R b KQkq - 4 9","e6e5 c1g5 f6g5 g3g5",1321,"advantage opening short trappedPiece"
0040n,"r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1q/2K4R w - - 0 20","h1h2 g3h2 f3h3 f6g4",1325,"advancedPawn advantage endgame short"
004u0,"6k1/ppq3pp/2p1rp2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 b - - 3 34","e6e8 d1d7 c7d7 g4d7",1325,"advantage endgame short"
00P6j,"r2n2k1/1bRq1rpp/1p6/3P4/p3Q3/B3P3/PP3PPP/3R2K1 b - - 0 20","d7c7 e4e8 f7f8 e8f8",1325,"kingsideAttack mate mateIn2 middlegame short"
005Bm,"4rk2/p1q5/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 b - - 0 43","c7f7 h4g6 f8g8 f6h8",1327,"endgame mate mateIn2 pin short"
00GAf,"r5k1/5pp1/1p1rb2p/3pR2q/p1pP4/P1P3Q1/5PPN/4R1K1 b - - 1 30","h5g6 g3g6 f7g6 e5e6 d6e6 e1e6",1327,"crushing long middlegame"
00F3S,"3r1rk1/5ppp/p5q1/1p1P4/2PpP3/P6Q/B4PPP/2R3K1 b - - 0 29","g6e4 a2b1 e4b1 c1b1",1329,"crushing endgame short"
004mT,"5Q2/8/1b1kp1p1/5p2/3p4/5qPK/7P/8 b - - 1 51","d6c6 f8a8 c6d6 a8f3",1331,"advantage endgame short skewer"
00KO5,"2r2rk1/3p1ppp/p3p3/1p2q3/6P1/3Q4/PP5P/1K2RR2 b - - 0 22","e5h2 f1h1 h2c2 d3c2 c8c2 b1c2",1331,"advantage endgame long"
00KhM,"5rk1/5ppp/1R6/3Qp3/2B1P3/2q3P1/3R1PKP/1r6 b - - 0 27","b1b6 d5f7 f8f7 d2d8",1331,"clearance endgame mate mateIn2 pin sacrifice short"
00DBP,"5k1r/pp1b1p2/4p2p/2KpP2B/5P2/P5R1/7P/8 b - - 4 34","h8g8 g3g8 f8g8 c5d6",1335,"advantage endgame master short"
00MTn,"2rqk2r/3n4/1p2p3/p3N2p/Q1PP2p1/P2BP3/3K1Pb1/R6R w k - 0 22","h1h5 h8h5 d3g6 e8e7 a4d7 d8d7",1335,"advantage hangingPiece long middlegame"
00G0z,"Q4n1k/p2b2pp/3b4/2p5/4pq2/2Pn3P/PP1NBPP1/R1B2RK1 w - - 1 23","d2e4 f4h2",1337,"mate mateIn1 middlegame oneMove"
00K8j,"r2q2kr/p4pp1/4b2p/n1Qn4/5B2/4P3/PP3PPP/2KR1BNR w - - 1 14","f4c7 d8c7 c5c7 d5c7",1345,"advantage opening short"
000lC,"3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19","d1d6 d7d6 b7b6 a7b6",1349,"advantage hangingPiece middlegame short"
00Dxh,"8/8/8/6R1/2pk2P1/1r3K1P/8/8 w - - 0 48","f3g2 c4c3 g5g7 c3c2",1349,"advancedPawn crushing endgame master masterVsMaster rookEndgame short"
00AHY,"r6k/3NR1p1/4n2p/5b2/p6P/6R1/8/6K1 w - - 2 43","h4h5 a4a3 g3a3 a8a3 e7e8 h8h7",1356,"advantage endgame long"
00CiZ,"5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/4R2K w - - 2 34","e1d1 f8f3 g2f3 d5f3",1360,"crushing middlegame short"
00O8m,"r3r1k1/ppp2ppp/2nn1q2/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 b Q - 4 16","f6e6 d4d5 e6e5 d5c6",1362,"crushing fork middlegame short"
000Zo,"4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35","e5f6 e8e1 g1f2 e1f1",1363,"endgame mate mateIn2 operaMate short"
00Bg4,"3r2k1/1q3ppp/p2rp3/Qp1B4/7P/P4P2/1PP3P1/1K1R3R b - - 0 21","d6d5 a5d8 d5d8 d1d8",1370,"backRankMate endgame mate mateIn2 short xRayAttack"
00KAq,"5rr1/3pk1q1/p2Rp3/1pP4p/1P3p2/2P2QP1/1P3P1P/5RK1 w - - 1 26","d6d4 f4g3 d4d7 e7d7 f3b7 d7e8",1373,"advantage endgame long"
006cZ,"3r1rk1/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K b - - 7 28","g8h8 d2d3 d8d3 g6d3",1374,"advantage master masterVsMaster middlegame short"
00PHg,"R7/P4p2/5k1p/q5n1/5R2/7P/5PK1/8 b - - 2 46","f6e5 a8e8 e5f4 a7a8q a5a8 e8a8",1374,"advancedPawn advantage clearance endgame long promotion"
00BrZ,"r6r/pp2kb2/3p1p1Q/1N1Pp3/3bP3/P2B2P1/1P4PP/7K w - - 6 28","h6d2 h8h2 h1h2 a8h8 d2h6 h8h6",1380,"attraction kingsideAttack long mate mateIn3 middlegame pillsburysMate sacrifice"
0008Q,"8/4R3/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 w - - 1 64","e7f7 f5e5 e2f1 e5e6",1383,"advantage endgame rookEndgame short"
00Pu5,"6k1/1b3pbp/6p1/1Nr3q1/1Q1p4/P7/5PPP/4RBK1 b - - 0 27","c5c1 e1e8 g7f8 b4f8",1383,"master mate mateIn2 middlegame short"
00Dib,"7k/8/4PKR1/3r4/6P1/6b1/8/8 b - - 2 46","g3h4 g4g5 h4g5 g6g5 d5g5 f6g5",1386,"endgame master"
005wJ,"r3kb1r/ppqn1ppp/4pn2/1Q2Nb2/3P4/8/PP2PPPP/RNB1KB1R w KQkq - 4 9","e5d7 c7c1",1390,"hangingPiece mate mateIn1 oneMove opening"
009Os,"r2b2k1/1p3q1p/p2p4/3P2p1/2P1PRQr/8/P2B3P/2R4K w - - 1 29","g4g3 h4f4 d2f4 f7f4 g3f4 g5f4",1390,"crushing long middlegame"
00PUc,"3r3k/pp4bp/3Bn1p1/7n/8/8/PP3P1K/R4RN1 w - - 1 27","a1d1 d8d6 d1d6 g7e5 h2h1 e5d6",1394,"advantage attraction exposedKing fork long middlegame sacrifice"
00DcC,"5k2/6pp/p1b3P1/2N2P1r/p7/8/1KP5/5R2 b - - 0 36","h7h6 c5e6 f8e7 e6g7",1400,"crushing deflection endgame master short"
00761,"3r2k1/1b3pbR/p2P2P1/3p2N1/2p5/2P2N2/PP6/2K5 b - - 0 28","f7g6 h7g7 g8g7 g5e6 g7g8 e6d8",1401,"attraction crushing endgame exposedKing fork long sacrifice"
00Bul,"rnbqk2r/pp3ppp/5n2/3pN3/2B5/2P5/P1PPQPPP/R1B1K2R b KQkq - 1 8","d5c4 e5c6 c8e6 c6d8",1401,"advantage discoveredAttack discoveredCheck opening short"
00Cs4,"2r1q1k1/8/b2b1r1p/Pp1pNpp1/3Pn3/1RPQ3P/P1B1NPP1/4R1K1 w - - 3 28","a2a4 b5a4 d3a6 a4b3",1401,"advantage middlegame short"
00Erm,"3r4/6k1/1p1pr1p1/p1p2p2/PnP1p1P1/1P6/3R1PBP/4R1K1 b - - 0 29","b4d3 d2d3 e4d3 e1e6 d3d2 g2f3",1402,"crushing defensiveMove endgame long"
009zS,"r3r1k1/1p3p1p/p1p3p1/8/6bP/Q3b3/PP2B1P1/R3K2R w KQ - 2 20","g2g3 g4e2 e1e2 e3c5 e2f3 c5a3",1405,"advantage discoveredAttack discoveredCheck exposedKing long middlegame"
0054a,"r1b2rk1/ppq2ppp/8/4b2Q/4R3/3B4/PP3PPP/R1B3K1 b - - 1 15","g7g6 h5e5 c7e5 e4e5",1408,"advantage middlegame short"
00PF3,"2kr3r/Qpp2ppp/3b1n2/8/3N4/4P1Pq/PP1B1P1P/2R2RK1 w - - 4 18","d4b5 f6g4 b5d6 d8d6 c1c7 c8c7",1408,"advantage long middlegame"
000aY,"r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15","g5e7 a5c3 b2c3 c6e7",1412,"advantage master middlegame short"
009BH,"3r2k1/6p1/4Q3/4B3/1p3P2/4PKP1/3q4/8 b - - 17 51","g8h8 e6h6 h8g8 h6g7",1413,"endgame mate mateIn2 pin short"
00Myw,"r1b3r1/2q2p1k/1n2p2n/p2pP1NP/P1pP1QP1/1pP5/1P3PB1/R3R1K1 b - - 4 26","h7h8 f4f6 g8g7 f6h6",1416,"crushing fork master middlegame short"
00Kq4,"r2qk3/5p1r/p1p1p3/1p1pP1p1/P1nP2Pn/2P2NB1/2P2P2/R1QR2K1 w q - 1 21","f3g5 d8g5 c1g5 h4f3 g1g2 f3g5",1417,"advantage attraction fork long middlegame sacrifice"
0068B,"r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18","f6d7 d2d7 c8d7 f3a8",1419,"crushing deflection middlegame short"
008D5,"r1bqk2r/pp3ppp/4p2n/3pP3/1b1P1P2/2N5/PP4PP/R1BQKB1R b KQkq - 2 9","h6f5 d1a4 c8d7 a4b4",1421,"advantage fork master opening short"
006wz,"2r5/4ppkp/5bp1/1p6/1P6/P3B3/2r2PPP/1R1R2K1 b - - 2 22","f6b2 b1b2 c2b2 e3d4 f7f6 d4b2",1426,"attraction crushing endgame fork long sacrifice"
009aD,"r4k1r/pp3pp1/4p3/3pP1np/6bq/1PP2P2/P3B1PP/RN1Q1RK1 w - - 1 14","f3g4 h5g4 e2g4 h4h2",1426,"advantage kingsideAttack middlegame short"
00BnG,"4Q3/ppkr1pp1/2p3n1/2P4p/1P1P4/4K3/P5P1/8 w - - 2 33","d4d5 d7e7 e8e7 g6e7",1426,"crushing endgame fork short"
00IqI,"r5k1/pp3ppp/2p5/4pb2/2B2q2/P1P1nP2/1P1Q3P/3R1R1K b - - 1 22","e3c4 d2d8 a8d8 d1d8",1427,"backRankMate master mate mateIn2 middlegame sacrifice short"
00KHR,"8/6pk/1Q1p2n1/4p3/2P3P1/P2PP2P/1B4K1/4q3 w - - 1 35","g2f3 g6h4 f3e4 e1h1",1427,"endgame mate mateIn2 short"
00QCe,"1k5r/n2r2pp/5p2/ppN5/5P2/8/2R3PP/1R4K1 b - - 3 28","d7c7 c5a6 b8b7 a6c7",1427,"crushing endgame fork short"
004zI,"2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27","h7g6 h6h8",1429,"endgame mate mateIn1 oneMove"
00B3B,"2K5/3P4/5b2/p1B5/P7/3k4/6p1/8 w - - 7 77","d7d8q f6d8 c8d8 d3c4",1429,"crushing endgame short"
005do,"7r/pp1k4/4p1b1/3pP1Np/3P1P1K/8/P7/2R5 b - - 7 42","h8f8 c1c7 d7c7 g5e6 c7b6 e6f8",1433,"attraction crushing deflection endgame fork long sacrifice"
00M1q,"2r3k1/2r1q1p1/p3p1Q1/1p1p4/nP1P4/2P4R/P4PPP/2R3K1 b - - 0 30","e7f6 g6h7 g8f7 h3f3 f6f3 g2f3",1434,"advantage long middlegame pin"
00IUT,"1r2r1k1/ppp1q1pp/4b3/4P3/1Q1p1P2/8/P5PP/R1BR2K1 w - - 6 19","d1d4 c7c5 b4a3 c5d4 a3e7 e8e7",1439,"crushing fork long middlegame"
00Or5,"r2qkbnr/pp5p/8/4Nb2/3p4/1QN5/PP2PPPP/R3KB1R b KQkq - 1 12","d4c3 b3f7",1443,"mate mateIn1 oneMove opening"
006RM,"1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29","c7c5 b4c5 b6c5 d3d6 d8d6 d1d6",1445,"crushing long middlegame"
00InW,"8/2p5/pp1p4/3PnN2/PPP1Pp2/5P1p/5K1k/8 b - - 3 46","e5f3 f2f3 h2g1 f3f4 h3h2 f5g3",1450,"crushing defensiveMove endgame hangingPiece knightEndgame long"
00GBV,"3r1rk1/pp2n1pp/8/8/Nq6/1PB5/P3QPPP/4R1K1 b - - 1 25","b4d6 e2e7 d6e7 e1e7",1451,"advantage middlegame short"
00JR7,"r4rk1/pp2q1p1/2p1p2p/3nP1pP/3P2P1/2PQ1R2/PPB5/R5K1 b - - 1 23","f8f3 d3h7 g8f7 c2g6 f7f8 h7h8",1454,"kingsideAttack long mate mateIn3 middlegame"
001m3,"7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38","e2e6 h8h1 f1e2 h1a1",1455,"advantage endgame short skewer"
002VP,"8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44","e6d5 d4f6 g5f5 c6d5",1466,"crushing endgame short"
003UW,"8/6pk/7p/2p5/2qp4/5PP1/P3QK1P/8 b - - 1 40","c4d5 e2e4 d5e4 f3e4",1473,"advantage endgame queenEndgame short"
00Cwz,"1r5r/5pk1/4p3/2Np2PP/p1nP4/n1P5/P3B3/K1R4R w - - 2 34","c5a4 b8b1 c1b1 a3c2",1475,"mate mateIn2 middlegame sacrifice short"
00AFG,"r4rk1/2q2ppp/p3bp2/2P2N1Q/Ppp5/8/1PP2PPP/R2R2K1 b - - 6 21","c7c5 f5h6 g7h6 h5c5",1476,"advantage discoveredAttack middlegame short"
00LOy,"5k2/1p3pp1/p3pb2/r7/2P2B2/1P6/1PR1K1PP/8 b - - 0 33","f6e5 b3b4 a5a1 f4e5",1476,"crushing endgame short"
00HXr,"2k4r/Q1p2pp1/5n2/3rNq2/4p2p/6Pb/PPP1BP1P/R3R1K1 b - - 1 22","h4g3 a7a8",1478,"mate mateIn1 middlegame oneMove"
00J9b,"4k2r/4bppp/5n2/4N3/3P4/2P3P1/rp1KQP1P/1R5q b k - 1 21","h1b1 e2b5 e8f8 b5b8 f6e8 e5d7 f8g8 b8e8 e7f8 e8f8",1478,middlegame
00KSB,"r7/4kpRp/2p2p1P/p1P1n3/Pp6/1B6/5PP1/6K1 b - - 2 35","a8h8 f2f4 e5d7 g7f7",1478,"crushing endgame short"
00Kbj,"8/8/6p1/PR3p2/1P3k2/7P/r5P1/7K w - - 1 39","h3h4 f4g3 b5d5 a2a1 d5d1 a1d1",1479,"endgame long mate mateIn3 rookEndgame"
00LUV,"5r2/6k1/p3p2p/1p2P3/1P1p2R1/3Q3P/3r1qPK/8 b - - 1 31","g7h8 d3g6 f2g2 g4g2 d2g2 g6g2",1480,"crushing endgame long"
00CWE,"3r4/1p4p1/2pBkbBp/p1P5/3rp3/P7/1PK2P2/4R3 b - - 1 31","e6d5 g6f7",1483,"endgame mate mateIn1 oneMove"
00HoG,"5r1k/5r2/2b2RQp/1p1p2p1/1q4P1/8/8/1B3R1K b - - 0 36","f7f6 g6h7",1492,"mate mateIn1 middlegame oneMove"
003S3,"r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15","a8b8 g5e6 f8g8 e6c7",1494,"advantage middlegame pin short"
00MIY,"6k1/3R3p/1p5q/3P4/3QP1pN/6P1/PPr3B1/5rK1 w - - 0 25","g1f1 h6c1 d4d1 c1d1",1496,"endgame mate mateIn2 short"
00Dke,"5bk1/2Q2p1p/5qp1/p7/P1Bp4/1Pr4P/5PP1/3R2K1 b - - 5 27","c3c2 c4f7 g8g7 c7c2",1498,"crushing discoveredAttack endgame master short"
00Mbv,"2k2b1r/pp3ppp/1n6/BN2p1P1/2Q1Nn1P/8/PP3P2/2KR4 b - - 0 24","b6c4 d1d8",1498,"mate mateIn1 middlegame oneMove operaMate"
00HDS,"6k1/pp2R3/6pp/8/3r4/P4BbP/1P4P1/6K1 b - - 3 38","d4c4 f3d5 g8f8 e7f7 f8e8 d5c4",1501,"crushing endgame exposedKing fork long"
00Ngg,"3qk2r/1p1bbppp/4pn2/1BPp1n2/3P4/4PN2/5PPP/BN1QK2R w Kk - 1 15","d1e2 d8a5 a1c3 a5b5",1510,"advantage fork middlegame short"
00Aq4,"2k1r3/pppn1pp1/3b2b1/3p2Pp/2B2P2/3P3P/PPPR4/2K3NR w - - 0 18","c4d5 e8e1 d2d1 d6f4 c1b1 e1d1",1511,"backRankMate deflection long mate mateIn3 middlegame"
003Tx,"2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27","e1e4 f3d2 b1a1 c8c1",1512,"backRankMate endgame fork mate mateIn2 short"
00NUc,"6k1/6pp/1PP5/4b3/3p4/Br5P/4prP1/R5RK w - - 1 30","c6c7 b3h3 g2h3 f2h2",1514,"endgame mate mateIn2 operaMate sacrifice short"
00CMj,"7R/8/8/6p1/2p1p1k1/2PbK2p/P7/8 w - - 4 71","e3f2 e4e3 f2e3 g4g3",1515,"crushing defensiveMove endgame master short"
00F5G,"2rqrbk1/pp3ppp/4n3/3p1N2/3NnBQ1/2P4P/PP3PP1/R4RK1 b - - 14 22","e6f4 f5h6 g8h8 h6f7",1522,"crushing deflection kingsideAttack middlegame pin short"
00LH7,"6k1/6Bp/6pP/3q1p2/p2PnQ2/2r5/P5PK/4R3 b - - 1 39","d5d6 e1e4 d6f4 e4f4",1526,"crushing endgame short"
00Pr6,"r1b2rk1/p4ppp/2p5/6q1/2p3P1/3P1Q1P/PPP5/1K2RR2 b - - 0 17","c4d3 f3f7 f8f7 e1e8 f7f8 f1f8",1528,"kingsideAttack long mate mateIn3 middlegame sacrifice"
000hf,"r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19","e8f7 e2e6 f7f8 e6f7",1530,"mate mateIn2 middlegame short"
00C8e,"8/5p1k/5Ppb/2p3P1/1p6/8/KB5Q/3q4 b - - 4 58","d1a4 a2b1 a4d1 b2c1",1532,"endgame equality pin short"
00IPp,"4Q3/6pk/p3p2p/5p2/1p1P2P1/4q2P/2B1n2B/7K w - - 0 35","g4f5 e3f3",1537,"endgame mate mateIn1 oneMove"
00Nf5,"r1bq1rk1/pp2bppp/2pp1n2/8/5P2/5N2/PBPPB1PP/RN1Q1RK1 w - - 5 11","b1c3 d8b6 g1h1 b6b2 a1b1 b2a3",1541,"advantage fork long opening"
